bucket,count,ratio
1,7234,0.17079448
2,7146,0.16871680
3,7083,0.16722937
4,16944,0.40004722
5,183,0.00432062
6,152,0.00358871
7,134,0.00316374
8,104,0.00245544
9,470,0.01109668
10,107,0.00252627
11,98,0.00231378
12,93,0.00219573
13,84,0.00198324
14,71,0.00167631
15,52,0.00122772
16,38,0.00089718
17,31,0.00073191
18,24,0.00056664
19,491,0.01159249
20,57,0.00134577
21,53,0.00125133
22,50,0.00118050
23,48,0.00113328
24,48,0.00113328
25,48,0.00113328
26,42,0.00099162
27,37,0.00087357
28,29,0.00068469
29,24,0.00056664
30,20,0.00047220
31,16,0.00037776
32,9,0.00021249
33,9,0.00021249
34,7,0.00016527
35,3,0.00007083
36,2,0.00004722
37,2,0.00004722
38,1,0.00002361
39,2,0.00004722
40,3,0.00007083
41,2,0.00004722
42,2,0.00004722
43,2,0.00004722
44,1,0.00002361
45,1,0.00002361
46,1,0.00002361
49,609,0.01437847
50-54,4,0.00009444
70-74,34,0.00080274
75-79,51,0.00120411
85-89,8,0.00018888
90-94,40,0.00094440
100-104,35,0.00082635
105-109,18,0.00042498
110-114,8,0.00018888
115-119,4,0.00009444
130-134,18,0.00042498
135-139,23,0.00054303
140-144,26,0.00061386
145-149,17,0.00040137
150-154,14,0.00033054
155-159,12,0.00028332
160-164,7,0.00016527
245-249,283,0.00668162
250-274,25,0.00059025
450-474,10,0.00023610
925-949,1,0.00002361
1000-1000,50,0.00118050
