bucket,count,ratio
1,30818,0.89312004
2,624,0.01808381
3,1238,0.03587782
4,454,0.01315713
5,696,0.02017041
6,39,0.00113024
7,20,0.00057961
8,20,0.00057961
10,255,0.00739002
11,39,0.00113024
12,26,0.00075349
13,10,0.00028980
14,4,0.00011592
20,99,0.00286907
21,12,0.00034777
22,12,0.00034777
23,11,0.00031879
24,11,0.00031879
25,7,0.00020286
26,5,0.00014490
27,2,0.00005796
28,1,0.00002898
29,1,0.00002898
50-54,63,0.00182577
55-59,19,0.00055063
60-64,3,0.00008694
200-204,1,0.00002898
245-249,2,0.00005796
250-274,13,0.00037675
700-724,1,0.00002898
