teaor,1-4,5-9,10-19,20-49,50-249,250-1000
1,0.9854390652365672,0.010891937154033979,0.0024928729401838333,0.0009204453932986461,0.0002556792759162906,0.0
10,0.7625754527162978,0.13601609657947686,0.04949698189134809,0.032595573440643864,0.016901408450704224,0.002414486921529175
11,0.946067415730337,0.03707865168539326,0.016853932584269662,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,0.0
14,0.974458634092171,0.015546918378678512,0.009994447529150472,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0
16,0.7261186924785782,0.03617899079657252,0.11361472548397335,0.058394160583941604,0.058711520152332594,0.006981910504601714
17,0.6682242990654206,0.0514018691588785,0.1822429906542056,0.028037383177570093,0.07009345794392523,0.0
18,0.8258823529411765,0.03411764705882353,0.07137254901960784,0.038431372549019606,0.03019607843137255,0.0
2,0.9935649935649936,0.006435006435006435,0.0,0.0,0.0,0.0
20,0.8321678321678322,0.0,0.12937062937062938,0.0,0.038461538461538464,0.0
22,0.48787728847105394,0.12122711528946066,0.13854527461652646,0.17615042058386937,0.06927263730826323,0.006927263730826323
23,0.5712848037571285,0.1194230124119423,0.11808118081180811,0.10566923851056692,0.08084535390808453,0.004696410600469641
24,0.4945054945054945,0.14285714285714285,0.23076923076923078,0.13186813186813187,0.0,0.0
25,0.5655774903562514,0.13546630360789652,0.11946902654867257,0.09394145677331518,0.07947583390061266,0.006069888813251645
26,0.6216417910447761,0.09701492537313433,0.10149253731343283,0.09328358208955224,0.08656716417910448,0.0
27,0.5420439844760673,0.12160413971539456,0.14877102199223805,0.08926261319534282,0.09831824062095731,0.0
28,0.5277253866465484,0.12561297623538287,0.10750660128253489,0.13806110901546587,0.0939268200678989,0.007167106752168993
29,0.43953488372093025,0.20232558139534884,0.12325581395348838,0.12558139534883722,0.10930232558139535,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0
30,0.6822429906542056,0.056074766355140186,0.07476635514018691,0.056074766355140186,0.07476635514018691,0.056074766355140186
31,0.5811670605344483,0.11816033448463915,0.09725504453735684,0.10361752408652972,0.08543901108889293,0.014361025268133067
32,0.5607476635514018,0.1074345373410794,0.10170918582133535,0.13580870590216385,0.08352277511156016,0.010777132272459375
33,0.5683666489321274,0.11491981454738923,0.10944744242608498,0.11172759747662842,0.08383370069164703,0.011704795926122976
35,0.9806201550387597,0.01937984496124031,0.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0,0.0,0.0
38,0.9368421052631579,0.031578947368421054,0.031578947368421054,0.0,0.0,0.0
41,0.8309912854030501,0.1084967320261438,0.04302832244008715,0.015250544662309368,0.0022331154684095862,0.0
42,0.8244047619047619,0.09285714285714286,0.04880952380952381,0.029166666666666667,0.002976190476190476,0.0017857142857142857
43,0.9484356296693771,0.03535311842159574,0.01192883972427457,0.0038490114335245802,0.0004334007512279688,0.0
45,0.910291309470605,0.06419371876650551,0.018323650103603786,0.00560679315808719,0.0015845285011985536,0.0
46,0.7592045149153454,0.12431374054593619,0.06657196606135063,0.03750911813260644,0.012170307521019694,0.0002303528237416977
47,0.8752627808378451,0.0895040341996782,0.027493628665719284,0.006341973293245798,0.0012096726837116985,0.0001879103197998755
49,0.9221020092735703,0.04716272907926695,0.01969529697504968,0.009096930889821152,0.0019430337822918967,0.0
50,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0,0.0,0.0
52,0.8830778479110309,0.05831079050195371,0.025849113315299068,0.02254283137962128,0.01021941689209498,0.0
53,0.9981184481677269,0.0013439655944807814,0.0005375862377923125,0.0,0.0,0.0
55,0.9066800100075056,0.0360270202651989,0.026019514635976983,0.021265949462096572,0.010007505629221916,0.0
56,0.7951868701900591,0.11526850631404396,0.06229006335303372,0.024150686678855393,0.0031038734640078235,0.0
58,0.9151785714285714,0.05178571428571429,0.017857142857142856,0.0125,0.0026785714285714286,0.0
59,0.9906272530641672,0.0073299687575102135,0.0020427781783225185,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0,0.0,0.0
61,0.9473684210526315,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0
62,0.9414780421745018,0.0261172373766686,0.016573160508157606,0.009866511897852582,0.005320177984136197,0.0006448700586831754
63,0.9869292140553386,0.009166525207944322,0.002037005601765405,0.001867255134951621,0.0,0.0
64,0.6388888888888888,0.1388888888888889,0.08333333333333333,0.05555555555555555,0.044444444444444446,0.03888888888888889
65,0.23076923076923078,0.0,0.0,0.5384615384615384,0.23076923076923078,0.0
66,0.9905183872396988,0.005494018608772707,0.002658396101019052,0.0006202924235711121,0.0007089056269384139,0.0
68,0.9477500657875501,0.03666559457325809,0.012075670302037952,0.00333323587029619,0.00017543346685769423,0.0
69,0.9550824543882298,0.03422405183543225,0.008208900689352788,0.0015102428567948748,0.0006089688938689012,0.0003653813363213407
70,0.9698530000266787,0.017394552196995972,0.007096550436197743,0.00336152389083051,0.0020542645999519784,0.0002401088493450364
71,0.8999601037303012,0.05385996409335727,0.028126870137642132,0.013165769000598444,0.004887293038100937,0.0
72,0.9408766564729868,0.03533809038396194,0.013591573224600747,0.0054366292898402994,0.0020387359836901123,0.0027183146449201497
