bucket,count,ratio
1,10841,0.51806365
2,3329,0.15908439
3,2341,0.11187040
4,1979,0.09457135
5,588,0.02809902
6,203,0.00970085
7,155,0.00740705
8,129,0.00616458
9,125,0.00597343
10,251,0.01199465
11,74,0.00353627
12,66,0.00315397
13,60,0.00286725
14,53,0.00253273
15,43,0.00205486
16,31,0.00148141
17,26,0.00124247
18,21,0.00100354
19,32,0.00152920
20,74,0.00353627
21,30,0.00143362
22,27,0.00129026
23,26,0.00124247
24,25,0.00119469
25,21,0.00100354
26,19,0.00090796
27,18,0.00086017
28,17,0.00081239
29,15,0.00071681
30,12,0.00057345
31,11,0.00052566
32,8,0.00038230
33,5,0.00023894
34,5,0.00023894
35,5,0.00023894
36,5,0.00023894
37,5,0.00023894
38,4,0.00019115
39,3,0.00014336
40,3,0.00014336
41,3,0.00014336
42,2,0.00009557
43,2,0.00009557
44,2,0.00009557
45,2,0.00009557
46,2,0.00009557
47,2,0.00009557
48,1,0.00004779
49,11,0.00052566
50-54,40,0.00191150
55-59,11,0.00052566
60-64,8,0.00038230
65-69,7,0.00033451
70-74,8,0.00038230
75-79,8,0.00038230
80-84,12,0.00057345
85-89,16,0.00076460
90-94,12,0.00057345
95-99,5,0.00023894
100-104,9,0.00043009
105-109,10,0.00047787
110-114,6,0.00028672
115-119,5,0.00023894
120-124,6,0.00028672
125-129,10,0.00047787
130-134,3,0.00014336
135-139,3,0.00014336
140-144,5,0.00023894
145-149,5,0.00023894
150-154,4,0.00019115
375-399,10,0.00047787
450-474,5,0.00023894
575-599,6,0.00028672
