bucket,count,ratio
1,9608,0.52474058
2,2777,0.15166576
3,1968,0.10748225
4,1723,0.09410158
5,448,0.02446750
6,202,0.01103222
7,153,0.00835609
8,119,0.00649918
9,120,0.00655380
10,148,0.00808301
11,90,0.00491535
12,77,0.00420535
13,67,0.00365920
14,61,0.00333151
15,49,0.00267613
16,36,0.00196614
17,27,0.00147460
18,21,0.00114691
19,25,0.00136537
20,56,0.00305844
21,34,0.00185691
22,28,0.00152922
23,28,0.00152922
24,26,0.00141999
25,22,0.00120153
26,17,0.00092845
27,17,0.00092845
28,16,0.00087384
29,13,0.00070999
30,12,0.00065538
31,10,0.00054615
32,7,0.00038230
33,5,0.00027307
34,4,0.00021846
35,3,0.00016384
36,3,0.00016384
37,3,0.00016384
38,3,0.00016384
39,3,0.00016384
40,3,0.00016384
41,3,0.00016384
42,3,0.00016384
43,3,0.00016384
44,2,0.00010923
45,2,0.00010923
46,2,0.00010923
47,1,0.00005461
48,1,0.00005461
49,7,0.00038230
50-54,48,0.00262152
55-59,23,0.00125614
60-64,7,0.00038230
65-69,4,0.00021846
70-74,11,0.00060076
75-79,22,0.00120153
80-84,10,0.00054615
85-89,6,0.00032769
90-94,3,0.00016384
95-99,4,0.00021846
100-104,9,0.00049153
105-109,7,0.00038230
110-114,5,0.00027307
115-119,5,0.00027307
120-124,5,0.00027307
125-129,5,0.00027307
135-139,2,0.00010923
140-144,4,0.00021846
145-149,1,0.00005461
150-154,5,0.00027307
155-159,4,0.00021846
245-249,6,0.00032769
250-274,13,0.00070999
275-299,10,0.00054615
300-324,2,0.00010923
450-474,5,0.00027307
475-499,3,0.00016384
500-524,3,0.00016384
700-724,7,0.00038230
725-749,4,0.00021846
750-774,5,0.00027307
1000-1000,6,0.00032769
