bucket,count,ratio
1,21006,0.26096031
2,18246,0.22667246
3,14630,0.18175042
4,14504,0.18018510
5,2152,0.02673458
6,1838,0.02283372
7,1435,0.01782719
8,1257,0.01561588
9,1518,0.01885831
10,434,0.00539164
11,381,0.00473321
12,329,0.00408721
13,288,0.00357786
14,258,0.00320517
15,206,0.00255917
16,168,0.00208709
17,131,0.00162743
18,111,0.00137897
19,485,0.00602522
20,75,0.00093173
21,73,0.00090689
22,69,0.00085720
23,64,0.00079508
24,58,0.00072054
25,39,0.00048450
26,28,0.00034785
27,25,0.00031058
28,21,0.00026089
29,17,0.00021119
30,14,0.00017392
31,10,0.00012423
32,9,0.00011181
33,9,0.00011181
34,9,0.00011181
35,8,0.00009939
36,9,0.00011181
37,7,0.00008696
38,5,0.00006212
39,4,0.00004969
40,3,0.00003727
41,3,0.00003727
42,1,0.00001242
43,1,0.00001242
49,273,0.00339152
50-54,78,0.00096900
55-59,9,0.00011181
60-64,3,0.00003727
65-69,15,0.00018635
70-74,3,0.00003727
80-84,2,0.00002485
85-89,4,0.00004969
90-94,6,0.00007454
95-99,4,0.00004969
100-104,5,0.00006212
105-109,2,0.00002485
195-199,1,0.00001242
245-249,90,0.00111808
250-274,26,0.00032300
475-499,6,0.00007454
500-524,6,0.00007454
625-649,1,0.00001242
1000-1000,23,0.00028573
