company_size,count,ratio
250,13,0.12500000
251,15,0.14423077
252,5,0.04807692
253,6,0.05769231
254,4,0.03846154
255,5,0.04807692
256,8,0.07692308
257,6,0.05769231
258,5,0.04807692
259,7,0.06730769
260,6,0.05769231
261,2,0.01923077
262,1,0.00961538
263,3,0.02884615
264,3,0.02884615
265,1,0.00961538
266,3,0.02884615
267,3,0.02884615
268,0,0.00000000
269,1,0.00961538
270,0,0.00000000
271,2,0.01923077
272,0,0.00000000
273,1,0.00961538
274,0,0.00000000
275,0,0.00000000
276,1,0.00961538
277,1,0.00961538
278,0,0.00000000
279,1,0.00961538
280,0,0.00000000
281,1,0.00961538
282,0,0.00000000
283,0,0.00000000
284,0,0.00000000
285,0,0.00000000
286,0,0.00000000
287,0,0.00000000
288,0,0.00000000
289,0,0.00000000
290,0,0.00000000
291,0,0.00000000
292,0,0.00000000
293,0,0.00000000
294,0,0.00000000
295,0,0.00000000
296,0,0.00000000
297,0,0.00000000
298,0,0.00000000
299,0,0.00000000
300,0,0.00000000
301,0,0.00000000
302,0,0.00000000
303,0,0.00000000
304,0,0.00000000
305,0,0.00000000
306,0,0.00000000
307,0,0.00000000
308,0,0.00000000
309,0,0.00000000
310,0,0.00000000
311,0,0.00000000
312,0,0.00000000
313,0,0.00000000
314,0,0.00000000
315,0,0.00000000
316,0,0.00000000
317,0,0.00000000
318,0,0.00000000
319,0,0.00000000
320,0,0.00000000
321,0,0.00000000
322,0,0.00000000
323,0,0.00000000
324,0,0.00000000
325,0,0.00000000
326,0,0.00000000
327,0,0.00000000
328,0,0.00000000
329,0,0.00000000
330,0,0.00000000
331,0,0.00000000
332,0,0.00000000
333,0,0.00000000
334,0,0.00000000
335,0,0.00000000
336,0,0.00000000
337,0,0.00000000
338,0,0.00000000
339,0,0.00000000
340,0,0.00000000
341,0,0.00000000
342,0,0.00000000
343,0,0.00000000
344,0,0.00000000
345,0,0.00000000
346,0,0.00000000
347,0,0.00000000
348,0,0.00000000
349,0,0.00000000
350,0,0.00000000
351,0,0.00000000
352,0,0.00000000
353,0,0.00000000
354,0,0.00000000
355,0,0.00000000
356,0,0.00000000
357,0,0.00000000
358,0,0.00000000
359,0,0.00000000
360,0,0.00000000
361,0,0.00000000
362,0,0.00000000
363,0,0.00000000
364,0,0.00000000
365,0,0.00000000
366,0,0.00000000
367,0,0.00000000
368,0,0.00000000
369,0,0.00000000
370,0,0.00000000
371,0,0.00000000
372,0,0.00000000
373,0,0.00000000
374,0,0.00000000
375,0,0.00000000
376,0,0.00000000
377,0,0.00000000
378,0,0.00000000
379,0,0.00000000
380,0,0.00000000
381,0,0.00000000
382,0,0.00000000
383,0,0.00000000
384,0,0.00000000
385,0,0.00000000
386,0,0.00000000
387,0,0.00000000
388,0,0.00000000
389,0,0.00000000
390,0,0.00000000
391,0,0.00000000
392,0,0.00000000
393,0,0.00000000
394,0,0.00000000
395,0,0.00000000
396,0,0.00000000
397,0,0.00000000
398,0,0.00000000
399,0,0.00000000
400,0,0.00000000
401,0,0.00000000
402,0,0.00000000
403,0,0.00000000
404,0,0.00000000
405,0,0.00000000
406,0,0.00000000
407,0,0.00000000
408,0,0.00000000
409,0,0.00000000
410,0,0.00000000
411,0,0.00000000
412,0,0.00000000
413,0,0.00000000
414,0,0.00000000
415,0,0.00000000
416,0,0.00000000
417,0,0.00000000
418,0,0.00000000
419,0,0.00000000
420,0,0.00000000
421,0,0.00000000
422,0,0.00000000
423,0,0.00000000
424,0,0.00000000
425,0,0.00000000
426,0,0.00000000
427,0,0.00000000
428,0,0.00000000
429,0,0.00000000
430,0,0.00000000
431,0,0.00000000
432,0,0.00000000
433,0,0.00000000
434,0,0.00000000
435,0,0.00000000
436,0,0.00000000
437,0,0.00000000
438,0,0.00000000
439,0,0.00000000
440,0,0.00000000
441,0,0.00000000
442,0,0.00000000
443,0,0.00000000
444,0,0.00000000
445,0,0.00000000
446,0,0.00000000
447,0,0.00000000
448,0,0.00000000
449,0,0.00000000
450,0,0.00000000
451,0,0.00000000
452,0,0.00000000
453,0,0.00000000
454,0,0.00000000
455,0,0.00000000
456,0,0.00000000
457,0,0.00000000
458,0,0.00000000
459,0,0.00000000
460,0,0.00000000
461,0,0.00000000
462,0,0.00000000
463,0,0.00000000
464,0,0.00000000
465,0,0.00000000
466,0,0.00000000
467,0,0.00000000
468,0,0.00000000
469,0,0.00000000
470,0,0.00000000
471,0,0.00000000
472,0,0.00000000
473,0,0.00000000
474,0,0.00000000
475,0,0.00000000
476,0,0.00000000
477,0,0.00000000
478,0,0.00000000
479,0,0.00000000
480,0,0.00000000
481,0,0.00000000
482,0,0.00000000
483,0,0.00000000
484,0,0.00000000
485,0,0.00000000
486,0,0.00000000
487,0,0.00000000
488,0,0.00000000
489,0,0.00000000
490,0,0.00000000
491,0,0.00000000
492,0,0.00000000
493,0,0.00000000
494,0,0.00000000
495,0,0.00000000
496,0,0.00000000
497,0,0.00000000
498,0,0.00000000
499,0,0.00000000
500,0,0.00000000
501,0,0.00000000
502,0,0.00000000
503,0,0.00000000
504,0,0.00000000
505,0,0.00000000
506,0,0.00000000
507,0,0.00000000
508,0,0.00000000
509,0,0.00000000
510,0,0.00000000
511,0,0.00000000
512,0,0.00000000
513,0,0.00000000
514,0,0.00000000
515,0,0.00000000
516,0,0.00000000
517,0,0.00000000
518,0,0.00000000
519,0,0.00000000
520,0,0.00000000
521,0,0.00000000
522,0,0.00000000
523,0,0.00000000
524,0,0.00000000
525,0,0.00000000
526,0,0.00000000
527,0,0.00000000
528,0,0.00000000
529,0,0.00000000
530,0,0.00000000
531,0,0.00000000
532,0,0.00000000
533,0,0.00000000
534,0,0.00000000
535,0,0.00000000
536,0,0.00000000
537,0,0.00000000
538,0,0.00000000
539,0,0.00000000
540,0,0.00000000
541,0,0.00000000
542,0,0.00000000
543,0,0.00000000
544,0,0.00000000
545,0,0.00000000
546,0,0.00000000
547,0,0.00000000
548,0,0.00000000
549,0,0.00000000
550,0,0.00000000
551,0,0.00000000
552,0,0.00000000
553,0,0.00000000
554,0,0.00000000
555,0,0.00000000
556,0,0.00000000
557,0,0.00000000
558,0,0.00000000
559,0,0.00000000
560,0,0.00000000
561,0,0.00000000
562,0,0.00000000
563,0,0.00000000
564,0,0.00000000
565,0,0.00000000
566,0,0.00000000
567,0,0.00000000
568,0,0.00000000
569,0,0.00000000
570,0,0.00000000
571,0,0.00000000
572,0,0.00000000
573,0,0.00000000
574,0,0.00000000
575,0,0.00000000
576,0,0.00000000
577,0,0.00000000
578,0,0.00000000
579,0,0.00000000
580,0,0.00000000
581,0,0.00000000
582,0,0.00000000
583,0,0.00000000
584,0,0.00000000
585,0,0.00000000
586,0,0.00000000
587,0,0.00000000
588,0,0.00000000
589,0,0.00000000
590,0,0.00000000
591,0,0.00000000
592,0,0.00000000
593,0,0.00000000
594,0,0.00000000
595,0,0.00000000
596,0,0.00000000
597,0,0.00000000
598,0,0.00000000
599,0,0.00000000
600,0,0.00000000
601,0,0.00000000
602,0,0.00000000
603,0,0.00000000
604,0,0.00000000
605,0,0.00000000
606,0,0.00000000
607,0,0.00000000
608,0,0.00000000
609,0,0.00000000
610,0,0.00000000
611,0,0.00000000
612,0,0.00000000
613,0,0.00000000
614,0,0.00000000
615,0,0.00000000
616,0,0.00000000
617,0,0.00000000
618,0,0.00000000
619,0,0.00000000
620,0,0.00000000
621,0,0.00000000
622,0,0.00000000
623,0,0.00000000
624,0,0.00000000
625,0,0.00000000
626,0,0.00000000
627,0,0.00000000
628,0,0.00000000
629,0,0.00000000
630,0,0.00000000
631,0,0.00000000
632,0,0.00000000
633,0,0.00000000
634,0,0.00000000
635,0,0.00000000
636,0,0.00000000
637,0,0.00000000
638,0,0.00000000
639,0,0.00000000
640,0,0.00000000
641,0,0.00000000
642,0,0.00000000
643,0,0.00000000
644,0,0.00000000
645,0,0.00000000
646,0,0.00000000
647,0,0.00000000
648,0,0.00000000
649,0,0.00000000
650,0,0.00000000
651,0,0.00000000
652,0,0.00000000
653,0,0.00000000
654,0,0.00000000
655,0,0.00000000
656,0,0.00000000
657,0,0.00000000
658,0,0.00000000
659,0,0.00000000
660,0,0.00000000
661,0,0.00000000
662,0,0.00000000
663,0,0.00000000
664,0,0.00000000
665,0,0.00000000
666,0,0.00000000
667,0,0.00000000
668,0,0.00000000
669,0,0.00000000
670,0,0.00000000
671,0,0.00000000
672,0,0.00000000
673,0,0.00000000
674,0,0.00000000
675,0,0.00000000
676,0,0.00000000
677,0,0.00000000
678,0,0.00000000
679,0,0.00000000
680,0,0.00000000
681,0,0.00000000
682,0,0.00000000
683,0,0.00000000
684,0,0.00000000
685,0,0.00000000
686,0,0.00000000
687,0,0.00000000
688,0,0.00000000
689,0,0.00000000
690,0,0.00000000
691,0,0.00000000
692,0,0.00000000
693,0,0.00000000
694,0,0.00000000
695,0,0.00000000
696,0,0.00000000
697,0,0.00000000
698,0,0.00000000
699,0,0.00000000
700,0,0.00000000
701,0,0.00000000
702,0,0.00000000
703,0,0.00000000
704,0,0.00000000
705,0,0.00000000
706,0,0.00000000
707,0,0.00000000
708,0,0.00000000
709,0,0.00000000
710,0,0.00000000
711,0,0.00000000
712,0,0.00000000
713,0,0.00000000
714,0,0.00000000
715,0,0.00000000
716,0,0.00000000
717,0,0.00000000
718,0,0.00000000
719,0,0.00000000
720,0,0.00000000
721,0,0.00000000
722,0,0.00000000
723,0,0.00000000
724,0,0.00000000
725,0,0.00000000
726,0,0.00000000
727,0,0.00000000
728,0,0.00000000
729,0,0.00000000
730,0,0.00000000
731,0,0.00000000
732,0,0.00000000
733,0,0.00000000
734,0,0.00000000
735,0,0.00000000
