bucket,count,ratio
1,8633,0.53481601
2,2570,0.15921199
3,1846,0.11436005
4,1603,0.09930616
5,414,0.02564738
6,144,0.00892083
7,112,0.00693842
8,95,0.00588527
9,82,0.00507992
10,97,0.00600917
11,61,0.00377896
12,54,0.00334531
13,44,0.00272581
14,40,0.00247801
15,29,0.00179656
16,22,0.00136290
17,19,0.00117705
18,13,0.00080535
19,13,0.00080535
20,41,0.00253996
21,21,0.00130095
22,20,0.00123900
23,19,0.00117705
24,18,0.00111510
25,14,0.00086730
26,7,0.00043365
27,7,0.00043365
28,6,0.00037170
29,4,0.00024780
30,4,0.00024780
31,4,0.00024780
32,4,0.00024780
33,4,0.00024780
34,4,0.00024780
35,4,0.00024780
36,2,0.00012390
37,2,0.00012390
38,2,0.00012390
39,2,0.00012390
40,1,0.00006195
50-54,24,0.00148680
55-59,12,0.00074340
60-64,5,0.00030975
65-69,3,0.00018585
75-79,3,0.00018585
80-84,4,0.00024780
85-89,3,0.00018585
675-699,5,0.00030975
700-724,2,0.00012390
