bucket,count,ratio
1,9766,0.54729881
2,2656,0.14884555
3,1911,0.10709482
4,1671,0.09364492
5,446,0.02499440
6,171,0.00958305
7,132,0.00739744
8,108,0.00605245
9,96,0.00537996
10,153,0.00857431
11,68,0.00381080
12,64,0.00358664
13,57,0.00319435
14,40,0.00224165
15,35,0.00196144
16,27,0.00151311
17,22,0.00123291
18,15,0.00084062
19,14,0.00078458
20,52,0.00291414
21,28,0.00156915
22,27,0.00151311
23,23,0.00128895
24,22,0.00123291
25,18,0.00100874
26,14,0.00078458
27,11,0.00061645
28,10,0.00056041
29,7,0.00039229
30,6,0.00033625
31,5,0.00028021
32,5,0.00028021
33,5,0.00028021
34,5,0.00028021
35,4,0.00022416
36,4,0.00022416
37,2,0.00011208
38,2,0.00011208
39,2,0.00011208
40,2,0.00011208
41,1,0.00005604
42,1,0.00005604
43,1,0.00005604
44,1,0.00005604
49,11,0.00061645
50-54,34,0.00190540
55-59,19,0.00106478
60-64,5,0.00028021
65-69,6,0.00033625
70-74,3,0.00016812
75-79,5,0.00028021
80-84,3,0.00016812
85-89,14,0.00078458
90-94,11,0.00061645
95-99,2,0.00011208
140-144,4,0.00022416
145-149,5,0.00028021
150-154,5,0.00028021
155-159,5,0.00028021
160-164,2,0.00011208
