bucket,count,ratio
1,5712,0.15428247
2,5712,0.15428247
3,5684,0.15352619
4,17824,0.48143046
5,186,0.00502390
6,165,0.00445669
7,145,0.00391648
8,122,0.00329525
9,645,0.01742160
10,36,0.00097237
11,28,0.00075629
12,25,0.00067526
13,24,0.00064825
14,24,0.00064825
15,22,0.00059423
16,22,0.00059423
17,16,0.00043216
18,11,0.00029711
19,195,0.00526700
20,11,0.00029711
21,10,0.00027010
22,10,0.00027010
23,10,0.00027010
24,10,0.00027010
25,8,0.00021608
26,5,0.00013505
27,5,0.00013505
28,5,0.00013505
29,5,0.00013505
30,4,0.00010804
31,4,0.00010804
32,2,0.00005402
33,1,0.00002701
49,142,0.00383545
50-54,28,0.00075629
80-84,3,0.00008103
85-89,2,0.00005402
135-139,1,0.00002701
245-249,66,0.00178268
250-274,20,0.00054020
500-524,12,0.00032412
650-674,5,0.00013505
775-799,1,0.00002701
1000-1000,55,0.00148556
